ph,max_temperature_avg,humidity_avg,precip_avg,soil_type,area_slope,drainage,target
4.5,29,45,1200,sandy soil,20,yes,cassava
4.5,29,65,1100,sandy soil,15,yes,cassava
4.5,30,60,1500,sandy soil,25,yes,cassava
4.5,30,30,1400,sandy soil,14,yes,cassava
4.5,27,45,1200,sandy soil,13,yes,cassava
4.5,29,50,1200,sandy soil,19,yes,cassava
4.5,27,50,1500,sandy soil,15,yes,cassava
4.5,29,45,1100,sandy soil,15,yes,cassava
4.5,28,50,1200,sandy soil,20,yes,cassava
4.5,30,55,1500,sandy soil,16,yes,cassava
4.5,30,60,1300,sandy soil,13,yes,cassava
4.5,30,45,1200,sandy soil,15,yes,cassava
5,28,55,1200,loamy soil,20,yes,cassava
5,28,50,900,sandy soil,18,yes,cassava
5,29,40,1500,sandy soil,12,yes,cassava
5,28,50,1200,,16,yes,cassava
5,29,30,1300,sandy soil,15,yes,cassava
5,28,50,1500,sandy soil,13,yes,cassava
5,30,60,1500,sandy soil,18,yes,cassava
5,30,45,1200,sandy soil,12,yes,cassava
5,29,35,1200,sandy soil,16,yes,cassava
5,27,60,1500,sandy soil,15,yes,cassava
5.5,30,75,1300,sandy soil,20,yes,cassava
5.5,29,55,1200,sandy soil,20,yes,cassava
5.5,28,30,1200,sandy soil,15,yes,cassava
5.5,29,60,1400,sandy soil,14,yes,cassava
5.5,27,65,1200,sandy soil,16,yes,cassava
5.5,30,60,1500,sandy soil,16,yes,cassava
5.5,29,55,1500,sandy soil,15,yes,cassava
5.5,30,30,1200,sandy soil,18,yes,cassava
5.5,30,35,1200,sandy soil,14,yes,cassava
6,30,55,1200,sandy soil,15,yes,cassava
6,29,60,1300,sandy soil,15,yes,cassava
6,29,35,1400,sandy soil,18,yes,cassava
6,29,65,1500,sandy soil,14,yes,cassava
6,27,70,1400,sandy soil,19,yes,cassava
6,28,30,1500,sandy soil,20,yes,cassava
6,27,30,1400,sandy soil,10,yes,cassava
6.5,30,50,1500,sandy soil,25,yes,cassava
6.5,33,65,1300,clay soil,29,yes,cassava
6.5,30,30,1500,sandy soil,16,yes,cassava
6.5,28,35,1500,loamy soil,13,yes,cassava
6.5,27,55,1300,sandy soil,18,yes,cassava
6.5,28,35,1200,sandy soil,16,yes,cassava
6.5,28,30,1400,sandy soil,12,yes,cassava
6.5,30,35,1000,sandy soil,10,yes,cassava
6.5,29,65,1500,sandy soil,20,yes,cassava
6.5,27,55,1300,sandy soil,12,yes,cassava
6.5,29,65,1400,sandy soil,11,yes,cassava
6.5,29,70,1200,sandy soil,14,yes,cassava
6.5,27,50,1400,sandy soil,12,yes,cassava
5.5,28,70,1600,loamy Soil,4,yes,corn
5.5,30,65,1500,loamy Soil,9,yes,corn
5.5,29,65,1600,sandy soil,4,yes,corn
6,27,65,1600,sandy soil,5,yes,corn
6.5,28,70,1500,loamy Soil,2,yes,corn
6.5,29,65,1500,loamy Soil,6,yes,corn
6.5,30,80,1800,loamy Soil,5,yes,corn
7,30,65,1900,sandy soil,8,yes,corn
7,30,65,1900,sandy soil,6,yes,corn
7,27,95,2000,loamy Soil,4,yes,corn
7,28,80,1600,sandy soil,5,yes,corn
7,27,70,1500,loamy Soil,8,yes,corn
7,28,65,1700,loamy Soil,6,yes,corn
7,29,65,1500,sandy soil,5,yes,corn
7,28,95,1900,sandy soil,8,yes,corn
7.5,28,65,2000,sandy soil,2,yes,corn
7.5,28,70,1700,loamy Soil,6,yes,corn
7.5,28,65,1500,sandy soil,5,yes,corn
7.5,29,65,1700,loamy Soil,6,yes,corn
7.5,29,65,1800,sandy soil,8,yes,corn
7.5,30,75,1700,sandy soil,5,yes,corn
7.5,29,65,1600,sandy soil,6,yes,corn
7.5,28,65,1500,sandy soil,9,yes,corn
7.5,28,80,1900,loamy Soil,5,yes,corn
7.5,30,65,1700,loamy Soil,2,yes,corn
7.5,29,70,1600,loamy Soil,9,yes,corn
7.5,29,65,1800,sandy soil,5,yes,corn
7.5,28,75,1600,loamy Soil,6,yes,corn
7.5,28,80,1700,sandy soil,4,yes,corn
7.5,27,95,1800,loamy Soil,5,yes,corn
7.5,29,80,2000,sandy soil,6,yes,corn
7.5,30,75,1700,loamy Soil,5,yes,corn
8,28,65,1500,loamy Soil,6,yes,corn
8,29,65,1800,loamy Soil,5,yes,corn
8,29,65,2000,loamy Soil,8,yes,corn
8,30,65,1600,sandy soil,3,yes,corn
8,28,80,1800,loamy Soil,2,yes,corn
8,29,70,1800,loamy Soil,5,yes,corn
8,29,70,2000,sandy soil,4,yes,corn
8,30,70,1800,loamy Soil,5,yes,corn
8,29,75,1900,loamy Soil,5,yes,corn
8,30,90,1700,loamy Soil,7,yes,corn
8,29,70,1500,loamy Soil,4,yes,corn
8,29,70,1600,loamy Soil,4,yes,corn
8,28,90,1900,sandy soil,1,yes,corn
8,30,65,1500,loamy Soil,3,yes,corn
8,30,85,2000,loamy Soil,6,yes,corn
8,29,80,1800,sandy soil,5,yes,corn
8,30,65,2000,loamy Soil,2,yes,corn
8,30,65,1500,sandy soil,8,yes,corn
8,29,70,1600,loamy Soil,5,yes,corn
4,28,50,1200,clay soil,9,yes,oil palm
4,29,70,1500,loamy Soil,9,yes,oil palm
4,28,65,1400,loamy Soil,5,yes,oil palm
4,28,70,1300,,15,yes,oil palm
4,28,55,1700,clay soil,2,yes,oil palm
4,27,65,1600,clay soil,15,yes,oil palm
4,29,65,1300,clay soil,15,yes,oil palm
4,30,65,1200,clay soil,6,yes,oil palm
4,30,70,1600,loamy Soil,14,yes,oil palm
4,30,65,1400,loamy Soil,14,yes,oil palm
4,,65,1500,clay soil,16,yes,oil palm
4,27,55,1200,loamy Soil,12,yes,oil palm
4,29,70,1600,loamy Soil,20,yes,oil palm
4,29,55,1200,loamy Soil,25,yes,oil palm
4,30,70,1200,loamy Soil,15,yes,oil palm
4.5,36,50,1200,clay soil,6,yes,oil palm
4.5,36,70,1200,clay soil,9,yes,oil palm
4.5,38,55,1200,clay soil,20,yes,oil palm
5,40,50,1500,clay soil,23,yes,oil palm
5,36,70,1400,clay soil,4,yes,oil palm
5,36,65,1200,clay soil,6,yes,oil palm
5,36,55,1400,clay soil,12,yes,oil palm
5,36,55,1200,clay soil,5,yes,oil palm
5,40,50,1500,clay soil,15,yes,oil palm
5,40,65,1600,clay soil,12,yes,oil palm
5.5,37,65,1600,clay soil,10,yes,oil palm
5.5,36,60,1200,clay soil,7,yes,oil palm
5.5,39,50,1400,clay soil,18,yes,oil palm
5.5,36,55,1600,clay soil,11,yes,oil palm
5.5,36,65,1300,clay soil,10,yes,oil palm
5.5,36,65,1500,clay soil,1,yes,oil palm
5.5,38,65,1300,clay soil,20,yes,oil palm
5.5,39,70,1400,clay soil,8,yes,oil palm
6,30,55,1200,loamy Soil,22,yes,oil palm
6,37,65,1400,clay soil,15,yes,oil palm
6,39,70,1600,clay soil,6,yes,oil palm
6,39,50,1200,clay soil,30,yes,oil palm
6,40,50,1500,clay soil,15,yes,oil palm
6.5,36,70,1300,clay soil,12,yes,oil palm
6.5,37,55,1800,clay soil,5,yes,oil palm
6.5,40,55,1600,clay soil,8,yes,oil palm
6.5,37,70,1500,clay soil,5,yes,oil palm
6.5,37,65,1500,clay soil,18,yes,oil palm
6.5,37,70,1400,clay soil,10,yes,oil palm
6.5,39,65,1300,clay soil,8,yes,oil palm
6.5,36,70,1600,clay soil,20,yes,oil palm
6.5,36,70,1300,clay soil,8,yes,oil palm
6.5,36,55,1400,clay soil,10,yes,oil palm
6.5,36,70,1400,clay soil,12,yes,oil palm
6.5,39,65,1300,clay soil,10,yes,oil palm
6.5,37,70,1400,clay soil,5,yes,oil palm
4.5,28,90,1500,clay Soil,2,no,rice
4.5,28,92,1800,sandy soil,4,no,rice
4.5,28,94,2400,clay Soil,4,no,rice
4.5,28,65,1900,sandy soil,2,no,rice
5,28,75,1500,clay Soil,1,no,rice
5,30,78,1900,sandy soil,3,no,rice
5,29,89,1600,loamy Soil,1,no,rice
5,30,81,1500,sandy soil,4,no,rice
5,29,92,1900,clay Soil,2,no,rice
5,30,83,1500,clay Soil,2,no,rice
5.5,29,95,1500,loamy Soil,3,no,rice
5.5,27,95,2000,loamy Soil,1,no,rice
5.5,30,85,1600,clay Soil,2,no,rice
5.5,27,77,1900,clay Soil,3,no,rice
5.5,29,91,1500,loamy Soil,1,no,rice
5.5,30,96,2000,clay Soil,1,no,rice
5.5,29,81,1500,sandy soil,3,no,rice
5.5,28,89,1500,loamy Soil,2,no,rice
5.5,30,65,1600,clay Soil,1,no,rice
5.5,29,50,1800,loamy Soil,2,no,rice
6,30,100,2000,clay Soil,5,no,rice
6,29,80,1500,loamy Soil,2,no,rice
6,27,90,1900,clay Soil,4,no,rice
6,27,,1500,sandy soil,2,no,rice
6,29,99,1600,sandy soil,2,no,rice
6,29,83,1200,sandy soil,2,no,rice
6,30,72,1500,sandy soil,3,no,rice
6,30,85,1600,loamy Soil,2,no,rice
6,30,98,2500,clay Soil,1,no,rice
6,27,76,1500,sandy soil,1,no,rice
6,30,60,2000,loamy Soil,1,no,rice
6.5,27,80,1600,clay Soil,2,no,rice
6.5,29,80,1600,loamy Soil,5,no,rice
6.5,30,75,1700,sandy soil,2,no,rice
6.5,30,84,1900,clay Soil,5,no,rice
6.5,30,90,1900,loamy Soil,2,no,rice
6.5,28,80,1900,clay Soil,1,no,rice
6.5,28,90,2000,clay Soil,1,no,rice
6.5,29,71,2000,clay Soil,2,no,rice
6.5,28,73,1900,sandy soil,3,no,rice
6.5,29,86,1700,sandy soil,2,no,rice
6.5,30,92,2000,clay Soil,4,no,rice
6.5,29,95,1600,loamy Soil,2,no,rice
6.5,29,86,1800,loamy Soil,2,no,rice
6.5,27,64,1900,sandy soil,1,no,rice
6.6,30,86,2000,loamy Soil,3,no,rice
6.6,29,85,1800,loamy Soil,2,no,rice
7,30,95,1200,sandy soil,1,no,rice
8,30,84,1600,clay Soil,5,no,rice
5,32,50,2500,clay soil,6,yes,sugar cane
5,35,60,1500,clay soil,9,yes,sugar cane
5,35,60,2000,clay soil,5,yes,sugar cane
5,35,55,1300,clay soil,4,yes,sugar cane
5,35,65,1600,clay soil,6,yes,sugar cane
5,31,60,1800,,4,yes,sugar cane
5,35,45,1200,clay soil,5,yes,sugar cane
5.5,35,20,1200,clay soil,5,yes,sugar cane
5.5,31,30,2000,sandy soil,4,yes,sugar cane
5.5,29,20,1200,clay soil,9,yes,sugar cane
5.5,31,65,1200,clay soil,5,yes,sugar cane
5.5,31,50,1500,clay soil,8,yes,sugar cane
5.5,35,35,1800,clay soil,5,yes,sugar cane
5.5,35,45,1800,clay soil,8,yes,sugar cane
5.5,28,20,2000,clay soil,5,yes,sugar cane
5.5,29,20,1800,clay soil,5,yes,sugar cane
5.5,31,65,1300,clay soil,8,yes,sugar cane
5.5,35,65,1200,clay soil,9,yes,sugar cane
6,31,70,1900,clay soil,6,yes,sugar cane
6,35,75,2500,clay soil,8,yes,sugar cane
6,29,20,1000,sandy soil,5,yes,sugar cane
6,35,20,2500,sandy soil,4,yes,sugar cane
6,33,45,1600,clay soil,7,yes,sugar cane
6,35,75,1900,clay soil,8,yes,sugar cane
6,35,55,2500,clay soil,7,yes,sugar cane
6,33,65,1900,clay soil,5,yes,sugar cane
6,32,75,1800,clay soil,6,yes,sugar cane
6,33,35,1700,clay soil,6,yes,sugar cane
6,33,65,1700,clay soil,8,yes,sugar cane
6,27,20,1400,clay soil,6,yes,sugar cane
6,28,20,2000,clay soil,5,yes,sugar cane
6,34,55,1500,clay soil,8,yes,sugar cane
6,32,55,1600,clay soil,4,yes,sugar cane
6,33,25,1800,clay soil,7,yes,sugar cane
6,27,20,1900,clay soil,5,yes,sugar cane
6,34,45,2000,clay soil,5,yes,sugar cane
6,33,75,1600,clay soil,8,yes,sugar cane
6,32,75,2500,clay soil,9,yes,sugar cane
6,27,65,1400,clay soil,5,yes,sugar cane
6,33,25,1300,clay soil,4,yes,sugar cane
6,35,35,1200,clay soil,5,yes,sugar cane
6,35,45,1700,clay soil,6,yes,sugar cane
6.5,31,75,1600,clay soil,9,yes,sugar cane
6.5,35,30,1500,clay soil,8,yes,sugar cane
6.5,33,20,1200,clay soil,5,yes,sugar cane
6.5,35,45,1900,clay soil,8,yes,sugar cane
6.5,32,75,1600,clay soil,4,yes,sugar cane
6.5,27,75,1700,clay soil,8,yes,sugar cane
6.5,33,65,1600,clay soil,7,yes,sugar cane
6.5,34,75,2000,clay soil,8,yes,sugar cane
6.5,31,65,1200,clay soil,5,yes,sugar cane
